,fromTaz,toTaz,route_edges,id,start_edge,last_edge
20,taz_16,taz_17,395392688#0 8924493 394158942 851553865-AddedOnRampEdge 851553865 851553865-AddedOffRampEdge 394118249 157607756 394118248,20,395392688#0,394118248
21,taz_70,taz_68,157751128#0 157751128#2 508479321 508479317 123867444 8925209 508479350 508479355 417513208,21,157751128#0,417513208
22,taz_66,taz_69,157751119 27807300 157607604-AddedOnRampEdge 157607604 123555227 30959006 23895318 394137972 30957455,22,157751119,30957455
23,taz_17,taz_1,157607701 508479343 28414204#1 508479346-AddedOffRampEdge 851555734 28464126#0 28464126#1-AddedOnRampEdge 28464126#1 552603209,23,157607701,552603209
24,taz_70,taz_18,157751128#0 157751128#2 508479321 157607759#0 157607759#1 508479365#1-AddedOnRampEdge 508479365#1 417527401 394126786#0,24,157751128#0,394126786#0
25,taz_69,taz_4,28415095 28415130#0 28415130#1 416130129#1 416130128 28415043 850378488 8947524#1 28357293,25,28415095,28357293
26,taz_4,taz_66,28357384#1 28357294 850376107 157750991#1 850746592 850746591 687721973 157607718 124952189 395368018,26,28357384#1,395368018
27,taz_70,taz_17,157751128#0 157751128#2 508479321 508479317 123867444 508479309 508479313#0 508479313#1-AddedOnRampEdge 157607710 394116561,27,157751128#0,394116561
28,taz_2,taz_68,157607513#0 157607513#0-AddedOffRampEdge 157607513#1 157607513#2-AddedOnRampEdge 157607513#2 157607513#2-AddedOffRampEdge 851568240 508479350 508479355 417513208,28,157607513#0,417513208
29,taz_2,taz_17,157607513#0 157607513#0-AddedOffRampEdge 157607513#1 157607513#2-AddedOnRampEdge 157607513#2 157607513#2-AddedOffRampEdge 417510458 508479313#1-AddedOnRampEdge 157607710 394116561,29,157607513#0,394116561
30,taz_70,taz_3,416130155 157607733#2 508479332#1-AddedOnRampEdge 508479332#1 157607611 157607611-AddedOffRampEdge 395439805 363648766#1-AddedOnRampEdge 363648766#1 395439800,30,416130155,395439800
31,taz_1,taz_17,301865760 301865760-AddedOffRampEdge 301865758 28464124 851553865-AddedOnRampEdge 851553865 851553865-AddedOffRampEdge 394118249 157607756 28414221,31,301865760,28414221
32,taz_69,taz_78,28415095 28415130#0 28415130#1 416130129#1 416130128 28415043 28357206 28357215 417050032 317402151#0,32,28415095,317402151#0
33,taz_3,taz_70,395439804 686995598 686995598-AddedOffRampEdge 395439802 363648763#1-AddedOnRampEdge 363648763#1 363648763#1-AddedOffRampEdge 157607746 394139591 394139595#0,33,395439804,394139595#0
34,taz_18,taz_17,28414046 394125947 394125949 157607513#2-AddedOnRampEdge 157607513#2 157607513#2-AddedOffRampEdge 417510458 508479313#1-AddedOnRampEdge 157607710 394116561,34,28414046,394116561
35,taz_18,taz_68,28414046 394125947 394125949 157607513#2-AddedOnRampEdge 157607513#2 157607513#2-AddedOffRampEdge 851568240 508479350 508479355 417513208,35,28414046,417513208
36,taz_70,taz_2,157751128#0 157751128#2 508479321 157607759#0 157607759#1 508479365#1-AddedOnRampEdge 508479365#1 508479370#0 508479370#1-AddedOnRampEdge 508479370#1,36,157751128#0,508479370#1
37,taz_17,taz_70,28414218 8924864 508479340 28414195-AddedOnRampEdge 28414195 28414138#1 123867415 508479336 30832610 157751113 394139592#0,37,28414218,394139592#0
38,taz_0,taz_67,509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 8926075 28414402,38,509747233,28414402
39,taz_78,taz_66,349958907#1 503590376 503590375 503590373 157750991#1 850746592 850746591 687721973 157607718 124952189 395368018,39,349958907#1,395368018
40,taz_68,taz_18,157607735#0 157607735#1 867203204 867203204-AddedOffRampEdge 157607517 508479360 508479365#0 508479365#1-AddedOnRampEdge 508479365#1 417527401 394126786#0,40,157607735#0,394126786#0
41,taz_69,taz_65,15371862#0 15371862#1 503520926 503520922 687721973 157607744 157607744-AddedOffRampEdge 184867444 28414573 283638411 283637999,41,15371862#0,283637999
42,taz_68,taz_2,157607735#0 157607735#1 867203204 867203204-AddedOffRampEdge 157607517 508479360 508479365#0 508479365#1-AddedOnRampEdge 508479365#1 508479370#0 508479370#1-AddedOnRampEdge 508479370#1,42,157607735#0,508479370#1
43,taz_65,taz_69,8926043 509721011 509721012-AddedOnRampEdge 509721012 417526194 395368020 157607604-AddedOnRampEdge 157607604 123555227 30959006 23895318 394137972 31022955,43,8926043,31022955
44,taz_66,taz_4,157751119 27807300 157607604-AddedOnRampEdge 157607604 123555227 30959006 30959001 416130129#1 416130128 28415043 850378488 8947524#1 28357293,44,157751119,28357293
45,taz_67,taz_0,23891838 395388037 687721971 687721971-AddedOffRampEdge 687721970 768291609 28414589-AddedOnRampEdge 28414589 360948375 509721010#0-AddedOnRampEdge 509721010#0 509721010#1-AddedOnRampEdge 509721010#1,45,23891838,509721010#1
46,taz_4,taz_65,28357384#1 28357294 850376107 157750991#1 850746592 850746591 687721973 157607744 157607744-AddedOffRampEdge 184867444 28414573 283638411 283637999,46,28357384#1,283637999
47,taz_68,taz_17,157607737 157607735#1 867203204 867203204-AddedOffRampEdge 157607517 508479360 157607691 123867444 508479309 508479313#0 508479313#1-AddedOnRampEdge 157607710 394116561,47,157607737,394116561
48,taz_65,taz_70,8926043 509721011 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 850394066 867203204 867203204-AddedOffRampEdge 417527262 30832610 157751113 394139592#0,48,8926043,394139592#0
49,taz_17,taz_18,394116560 8924864 508479340 28414195-AddedOnRampEdge 28414195 28414138#1 157607712 28414151#1 508479360 508479365#0 508479365#1-AddedOnRampEdge 508479365#1 417527401 394126786#0,49,394116560,394126786#0
50,taz_2,taz_16,157607513#0 157607513#0-AddedOffRampEdge 157607513#1 157607513#2-AddedOnRampEdge 157607513#2 157607513#2-AddedOffRampEdge 417510458 508479313#1-AddedOnRampEdge 28414204#0 28414204#1 508479346-AddedOffRampEdge 394159695 394159694 157782429#0,50,157607513#0,157782429#0
51,taz_70,taz_16,157751128#0 157751128#2 508479321 508479317 123867444 508479309 508479313#0 508479313#1-AddedOnRampEdge 28414204#0 28414204#1 508479346-AddedOffRampEdge 394159695 394159694 157782429#0,51,157751128#0,157782429#0
52,taz_66,taz_78,157751119 27807300 157607604-AddedOnRampEdge 157607604 123555227 30959006 30959001 416130129#1 416130128 28415043 28357206 28357215 417050032 317402151#0,52,157751119,317402151#0
53,taz_18,taz_16,28414046 394125947 394125949 157607513#2-AddedOnRampEdge 157607513#2 157607513#2-AddedOffRampEdge 417510458 508479313#1-AddedOnRampEdge 28414204#0 28414204#1 508479346-AddedOffRampEdge 394159695 394159694 157782429#0,53,28414046,157782429#0
54,taz_68,taz_65,157607751 850395063-AddedOnRampEdge 850395063 850395063-AddedOffRampEdge 850395062 28414349#1-AddedOnRampEdge 28414349#1 687721971 687721971-AddedOffRampEdge 417514364 28414572 28414573 283638411 283637999,54,157607751,283637999
55,taz_78,taz_65,349958907#1 503590376 503590375 503590373 157750991#1 850746592 850746591 687721973 157607744 157607744-AddedOffRampEdge 184867444 28414573 283638411 283637999,55,349958907#1,283637999
56,taz_17,taz_68,394116560 8924864 508479340 28414195-AddedOnRampEdge 28414195 28414138#1 157607712 28414151#1 508479360 157607691 123867444 8925209 508479350 508479355 417513208,56,394116560,417513208
57,taz_71,taz_18,96747684 510072352 363648763#1-AddedOnRampEdge 363648763#1 363648763#1-AddedOffRampEdge 851560451 508479326-AddedOnRampEdge 508479326 508479321 157607759#0 157607759#1 508479365#1-AddedOnRampEdge 508479365#1 417527401 394126786#0,57,96747684,394126786#0
58,taz_16,taz_70,395392688#0 8924493 394158942 851553865-AddedOnRampEdge 851553865 851553865-AddedOffRampEdge 851553864 28414195-AddedOnRampEdge 28414195 28414138#1 123867415 508479336 30832610 157751113 394139592#0,58,395392688#0,394139592#0
59,taz_17,taz_2,28414218 8924864 508479340 28414195-AddedOnRampEdge 28414195 28414138#1 157607712 28414151#1 508479360 508479365#0 508479365#1-AddedOnRampEdge 508479365#1 508479370#0 508479370#1-AddedOnRampEdge 508479370#1,59,28414218,508479370#1
60,taz_71,taz_68,96747684 510072352 363648763#1-AddedOnRampEdge 363648763#1 363648763#1-AddedOffRampEdge 851560451 508479326-AddedOnRampEdge 508479326 508479321 508479317 123867444 8925209 508479350 508479355 417513208,60,96747684,417513208
61,taz_70,taz_67,157751128#0 157751128#2 508479321 508479317 123867444 8925209 508479350 508479355 157607510 850395063-AddedOnRampEdge 850395063 850395063-AddedOffRampEdge 417513700 394161435 394161434#0,61,157751128#0,394161434#0
62,taz_0,taz_69,509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 417526194 395368020 157607604-AddedOnRampEdge 157607604 123555227 30959006 23895318 394137972 31022955,62,509747233,31022955
63,taz_68,taz_71,157607737 157607735#1 867203204 867203204-AddedOffRampEdge 417527262 30832610 172165117 508479329-AddedOnRampEdge 508479329 508479332#0 508479332#1-AddedOnRampEdge 508479332#1 157607611 157607611-AddedOffRampEdge 26276999 394110951,63,157607737,394110951
64,taz_69,taz_0,525720404 15371862#1 503520926 503520922 687721973 157607744 157607744-AddedOffRampEdge 851559586 124952183 28414589-AddedOnRampEdge 28414589 360948375 509721010#0-AddedOnRampEdge 509721010#0 509721010#1-AddedOnRampEdge 509721010#1,64,525720404,509721010#1
65,taz_2,taz_1,157607513#0 157607513#0-AddedOffRampEdge 157607513#1 157607513#2-AddedOnRampEdge 157607513#2 157607513#2-AddedOffRampEdge 417510458 508479313#1-AddedOnRampEdge 28414204#0 28414204#1 508479346-AddedOffRampEdge 851555734 28464126#0 28464126#1-AddedOnRampEdge 28464126#1 552603209,65,157607513#0,552603209
66,taz_2,taz_70,157607513#0 157607513#0-AddedOffRampEdge 157607513#1 157607513#2-AddedOnRampEdge 157607513#2 157607513#2-AddedOffRampEdge 851568240 508479350 417510574 9171132#1 28414138#1 123867415 508479336 30832610 157751113 394139592#0,66,157607513#0,394139592#0
67,taz_2,taz_67,157607513#0 157607513#0-AddedOffRampEdge 157607513#1 157607513#2-AddedOnRampEdge 157607513#2 157607513#2-AddedOffRampEdge 851568240 508479350 508479355 157607510 850395063-AddedOnRampEdge 850395063 850395063-AddedOffRampEdge 417513700 394161435 394161434#0,67,157607513#0,394161434#0
68,taz_18,taz_1,28414046 394125947 394125949 157607513#2-AddedOnRampEdge 157607513#2 157607513#2-AddedOffRampEdge 417510458 508479313#1-AddedOnRampEdge 28414204#0 28414204#1 508479346-AddedOffRampEdge 851555734 28464126#0 28464126#1-AddedOnRampEdge 28464126#1 552603209,68,28414046,552603209
69,taz_70,taz_1,157751128#0 157751128#2 508479321 508479317 123867444 508479309 508479313#0 508479313#1-AddedOnRampEdge 28414204#0 28414204#1 508479346-AddedOffRampEdge 851555734 28464126#0 28464126#1-AddedOnRampEdge 28464126#1 552603209,69,157751128#0,552603209
70,taz_0,taz_70,509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 850394066 867203204 867203204-AddedOffRampEdge 417527262 30832610 157751113 394139592#0,70,509747233,394139592#0
71,taz_18,taz_67,28414046 394125947 394125949 157607513#2-AddedOnRampEdge 157607513#2 157607513#2-AddedOffRampEdge 851568240 508479350 508479355 157607510 850395063-AddedOnRampEdge 850395063 850395063-AddedOffRampEdge 417513700 394161435 394161434#0,71,28414046,394161434#0
72,taz_65,taz_18,8926043 509721011 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 850394066 867203204 867203204-AddedOffRampEdge 157607517 508479360 508479365#0 508479365#1-AddedOnRampEdge 508479365#1 417527401 394126786#0,72,8926043,394126786#0
73,taz_71,taz_2,96747684 510072352 363648763#1-AddedOnRampEdge 363648763#1 363648763#1-AddedOffRampEdge 851560451 508479326-AddedOnRampEdge 508479326 508479321 157607759#0 157607759#1 508479365#1-AddedOnRampEdge 508479365#1 508479370#0 508479370#1-AddedOnRampEdge 508479370#1,73,96747684,508479370#1
74,taz_1,taz_70,301865760 301865760-AddedOffRampEdge 301865758 28464124 851553865-AddedOnRampEdge 851553865 851553865-AddedOffRampEdge 851553864 28414195-AddedOnRampEdge 28414195 28414138#1 123867415 508479336 30832610 157751113 394139592#0,74,301865760,394139592#0
75,taz_18,taz_70,28414046 394125947 394125949 157607513#2-AddedOnRampEdge 157607513#2 157607513#2-AddedOffRampEdge 851568240 508479350 417510574 9171132#1 28414138#1 123867415 508479336 30832610 157751113 394139592#0,75,28414046,394139592#0
76,taz_71,taz_17,96747684 510072352 363648763#1-AddedOnRampEdge 363648763#1 363648763#1-AddedOffRampEdge 851560451 508479326-AddedOnRampEdge 508479326 508479321 508479317 123867444 508479309 508479313#0 508479313#1-AddedOnRampEdge 157607710 394116561,76,96747684,394116561
77,taz_3,taz_18,395439804 686995598 686995598-AddedOffRampEdge 395439802 363648763#1-AddedOnRampEdge 363648763#1 363648763#1-AddedOffRampEdge 851560451 508479326-AddedOnRampEdge 508479326 508479321 157607759#0 157607759#1 508479365#1-AddedOnRampEdge 508479365#1 417527401 394126786#0,77,395439804,394126786#0
78,taz_3,taz_68,395439804 686995598 686995598-AddedOffRampEdge 395439802 363648763#1-AddedOnRampEdge 363648763#1 363648763#1-AddedOffRampEdge 851560451 508479326-AddedOnRampEdge 508479326 508479321 508479317 123867444 8925209 508479350 508479355 417513208,78,395439804,417513208
79,taz_65,taz_2,8926043 509721011 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 850394066 867203204 867203204-AddedOffRampEdge 157607517 508479360 508479365#0 508479365#1-AddedOnRampEdge 508479365#1 508479370#0 508479370#1-AddedOnRampEdge 508479370#1,79,8926043,508479370#1
80,taz_65,taz_4,8926043 509721011 509721012-AddedOnRampEdge 509721012 417526194 395368020 157607604-AddedOnRampEdge 157607604 123555227 30959006 30959001 416130129#1 416130128 28415043 850378488 8947524#1 28357293,80,8926043,28357293
81,taz_68,taz_16,157607735#0 157607735#1 867203204 867203204-AddedOffRampEdge 157607517 508479360 157607691 123867444 508479309 508479313#0 508479313#1-AddedOnRampEdge 28414204#0 28414204#1 508479346-AddedOffRampEdge 394159695 394159694 157782429#0,81,157607735#0,157782429#0
82,taz_65,taz_68,8926043 509721011 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 850394066 867203204 867203204-AddedOffRampEdge 157607517 508479360 157607691 123867444 8925209 508479350 508479355 417513208,82,8926043,417513208
83,taz_68,taz_0,157607751 850395063-AddedOnRampEdge 850395063 850395063-AddedOffRampEdge 850395062 28414349#1-AddedOnRampEdge 28414349#1 687721971 687721971-AddedOffRampEdge 687721970 768291609 28414589-AddedOnRampEdge 28414589 360948375 509721010#0-AddedOnRampEdge 509721010#0 509721010#1-AddedOnRampEdge 509721010#1,83,157607751,509721010#1
84,taz_4,taz_0,28357384#1 28357294 850376107 157750991#1 850746592 850746591 687721973 157607744 157607744-AddedOffRampEdge 851559586 124952183 28414589-AddedOnRampEdge 28414589 360948375 509721010#0-AddedOnRampEdge 509721010#0 509721010#1-AddedOnRampEdge 509721010#1,84,28357384#1,509721010#1
85,taz_68,taz_3,157607735#0 157607735#1 867203204 867203204-AddedOffRampEdge 417527262 30832610 172165117 508479329-AddedOnRampEdge 508479329 508479332#0 508479332#1-AddedOnRampEdge 508479332#1 157607611 157607611-AddedOffRampEdge 395439805 363648766#1-AddedOnRampEdge 363648766#1 395439800,85,157607735#0,395439800
86,taz_65,taz_78,8926043 509721011 509721012-AddedOnRampEdge 509721012 417526194 395368020 157607604-AddedOnRampEdge 157607604 123555227 30959006 30959001 416130129#1 416130128 28415043 28357206 28357215 417050032 317402151#0,86,8926043,317402151#0
87,taz_3,taz_2,395439804 686995598 686995598-AddedOffRampEdge 395439802 363648763#1-AddedOnRampEdge 363648763#1 363648763#1-AddedOffRampEdge 851560451 508479326-AddedOnRampEdge 508479326 508479321 157607759#0 157607759#1 508479365#1-AddedOnRampEdge 508479365#1 508479370#0 508479370#1-AddedOnRampEdge 508479370#1,87,395439804,508479370#1
88,taz_16,taz_18,395392688#0 8924493 394158942 851553865-AddedOnRampEdge 851553865 851553865-AddedOffRampEdge 851553864 28414195-AddedOnRampEdge 28414195 28414138#1 157607712 28414151#1 508479360 508479365#0 508479365#1-AddedOnRampEdge 508479365#1 417527401 394126786#0,88,395392688#0,394126786#0
89,taz_65,taz_17,8926043 509721011 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 850394066 867203204 867203204-AddedOffRampEdge 157607517 508479360 157607691 123867444 508479309 508479313#0 508479313#1-AddedOnRampEdge 157607710 394116561,89,8926043,394116561
90,taz_3,taz_17,395439804 686995598 686995598-AddedOffRampEdge 395439802 363648763#1-AddedOnRampEdge 363648763#1 363648763#1-AddedOffRampEdge 851560451 508479326-AddedOnRampEdge 508479326 508479321 508479317 123867444 508479309 508479313#0 508479313#1-AddedOnRampEdge 157607710 394116561,90,395439804,394116561
91,taz_16,taz_68,395392688#0 8924493 394158942 851553865-AddedOnRampEdge 851553865 851553865-AddedOffRampEdge 851553864 28414195-AddedOnRampEdge 28414195 28414138#1 157607712 28414151#1 508479360 157607691 123867444 8925209 508479350 508479355 417513208,91,395392688#0,417513208
92,taz_1,taz_18,301865760 301865760-AddedOffRampEdge 301865758 28464124 851553865-AddedOnRampEdge 851553865 851553865-AddedOffRampEdge 851553864 28414195-AddedOnRampEdge 28414195 28414138#1 157607712 28414151#1 508479360 508479365#0 508479365#1-AddedOnRampEdge 508479365#1 417527401 394126786#0,92,301865760,394126786#0
93,taz_68,taz_1,157607735#0 157607735#1 867203204 867203204-AddedOffRampEdge 157607517 508479360 157607691 123867444 508479309 508479313#0 508479313#1-AddedOnRampEdge 28414204#0 28414204#1 508479346-AddedOffRampEdge 851555734 28464126#0 28464126#1-AddedOnRampEdge 28464126#1 552603209,93,157607735#0,552603209
94,taz_16,taz_2,395392688#0 8924493 394158942 851553865-AddedOnRampEdge 851553865 851553865-AddedOffRampEdge 851553864 28414195-AddedOnRampEdge 28414195 28414138#1 157607712 28414151#1 508479360 508479365#0 508479365#1-AddedOnRampEdge 508479365#1 508479370#0 508479370#1-AddedOnRampEdge 508479370#1,94,395392688#0,508479370#1
95,taz_0,taz_18,509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 850394066 867203204 867203204-AddedOffRampEdge 157607517 508479360 508479365#0 508479365#1-AddedOnRampEdge 508479365#1 417527401 394126786#0,95,509747233,394126786#0
96,taz_17,taz_71,394116560 8924864 508479340 28414195-AddedOnRampEdge 28414195 28414138#1 123867415 508479336 30832610 172165117 508479329-AddedOnRampEdge 508479329 508479332#0 508479332#1-AddedOnRampEdge 508479332#1 157607611 157607611-AddedOffRampEdge 26276999 394110951,96,394116560,394110951
97,taz_78,taz_0,349958907#1 503590376 503590375 503590373 157750991#1 850746592 850746591 687721973 157607744 157607744-AddedOffRampEdge 851559586 124952183 28414589-AddedOnRampEdge 28414589 360948375 509721010#0-AddedOnRampEdge 509721010#0 509721010#1-AddedOnRampEdge 509721010#1,97,349958907#1,509721010#1
98,taz_0,taz_4,509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 417526194 395368020 157607604-AddedOnRampEdge 157607604 123555227 30959006 30959001 416130129#1 416130128 28415043 850378488 8947524#1 28357293,98,509747233,28357293
99,taz_0,taz_68,509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 850394066 867203204 867203204-AddedOffRampEdge 157607517 508479360 157607691 123867444 8925209 508479350 508479355 417513208,99,509747233,417513208
100,taz_0,taz_2,509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 850394066 867203204 867203204-AddedOffRampEdge 157607517 508479360 508479365#0 508479365#1-AddedOnRampEdge 508479365#1 508479370#0 508479370#1-AddedOnRampEdge 508479370#1,100,509747233,508479370#1
101,taz_1,taz_2,301865760 301865760-AddedOffRampEdge 301865758 28464124 851553865-AddedOnRampEdge 851553865 851553865-AddedOffRampEdge 851553864 28414195-AddedOnRampEdge 28414195 28414138#1 157607712 28414151#1 508479360 508479365#0 508479365#1-AddedOnRampEdge 508479365#1 508479370#0 508479370#1-AddedOnRampEdge 508479370#1,101,301865760,508479370#1
102,taz_66,taz_65,157751119 27807300 157607604-AddedOnRampEdge 157607604 123555227 30959006 23895318 394137972 30957455 525720404 15371862#1 503520926 503520922 687721973 157607744 157607744-AddedOffRampEdge 184867444 28414573 283638411 283637999,102,157751119,283637999
103,taz_1,taz_68,301865760 301865760-AddedOffRampEdge 301865758 28464124 851553865-AddedOnRampEdge 851553865 851553865-AddedOffRampEdge 851553864 28414195-AddedOnRampEdge 28414195 28414138#1 157607712 28414151#1 508479360 157607691 123867444 8925209 508479350 508479355 417513208,103,301865760,417513208
104,taz_71,taz_16,96747684 510072352 363648763#1-AddedOnRampEdge 363648763#1 363648763#1-AddedOffRampEdge 851560451 508479326-AddedOnRampEdge 508479326 508479321 508479317 123867444 508479309 508479313#0 508479313#1-AddedOnRampEdge 28414204#0 28414204#1 508479346-AddedOffRampEdge 394159695 394159694 157782429#0,104,96747684,157782429#0
105,taz_0,taz_17,509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 850394066 867203204 867203204-AddedOffRampEdge 157607517 508479360 157607691 123867444 508479309 508479313#0 508479313#1-AddedOnRampEdge 157607710 394116561,105,509747233,394116561
106,taz_71,taz_67,96747684 510072352 363648763#1-AddedOnRampEdge 363648763#1 363648763#1-AddedOffRampEdge 851560451 508479326-AddedOnRampEdge 508479326 508479321 508479317 123867444 8925209 508479350 508479355 157607510 850395063-AddedOnRampEdge 850395063 850395063-AddedOffRampEdge 417513700 394161435 394161434#0,106,96747684,394161434#0
107,taz_17,taz_67,28414218 8924864 508479340 28414195-AddedOnRampEdge 28414195 28414138#1 157607712 28414151#1 508479360 157607691 123867444 8925209 508479350 508479355 157607510 850395063-AddedOnRampEdge 850395063 850395063-AddedOffRampEdge 417513700 394161435 394161434#0,107,28414218,394161434#0
108,taz_65,taz_66,8926043 509721011 509721012-AddedOnRampEdge 509721012 417526194 395368020 157607604-AddedOnRampEdge 157607604 123555227 30959006 23895318 394137972 30957455 525720404 15371862#1 503520926 503520922 687721973 157607718 124952189 395368018,108,8926043,395368018
109,taz_65,taz_71,8926043 509721011 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 850394066 867203204 867203204-AddedOffRampEdge 417527262 30832610 172165117 508479329-AddedOnRampEdge 508479329 508479332#0 508479332#1-AddedOnRampEdge 508479332#1 157607611 157607611-AddedOffRampEdge 26276999 394110951,109,8926043,394110951
110,taz_17,taz_3,394116560 8924864 508479340 28414195-AddedOnRampEdge 28414195 28414138#1 123867415 508479336 30832610 172165117 508479329-AddedOnRampEdge 508479329 508479332#0 508479332#1-AddedOnRampEdge 508479332#1 157607611 157607611-AddedOffRampEdge 395439805 363648766#1-AddedOnRampEdge 363648766#1 395439800,110,394116560,395439800
111,taz_0,taz_78,509747233 509747233-AddedOffRampEdge 851561436 509721009 509721008 509721012-AddedOnRampEdge 509721012 417526194 395368020 157607604-AddedOnRampEdge 157607604 123555227 30959006 30959001 416130129#1 416130128 28415043 28357206 28357215 417050032 317402151#0,111,509747233,317402151#0
112,taz_71,taz_1,96747684 510072352 363648763#1-AddedOnRampEdge 363648763#1 363648763#1-AddedOffRampEdge 851560451 508479326-AddedOnRampEdge 508479326 508479321 508479317 123867444 508479309 508479313#0 508479313#1-AddedOnRampEdge 28414204#0 28414204#1 508479346-AddedOffRampEdge 851555734 28464126#0 28464126#1-AddedOnRampEdge 28464126#1 552603209,112,96747684,552603209
113,taz_70,taz_65,157751128#0 157751128#2 508479321 508479317 123867444 8925209 508479350 508479355 157607510 850395063-AddedOnRampEdge 850395063 850395063-AddedOffRampEdge 850395062 28414349#1-AddedOnRampEdge 28414349#1 687721971 687721971-AddedOffRampEdge 417514364 28414572 28414573 283638411 283637999,113,157751128#0,283637999
114,taz_3,taz_16,395439804 686995598 686995598-AddedOffRampEdge 395439802 363648763#1-AddedOnRampEdge 363648763#1 363648763#1-AddedOffRampEdge 851560451 508479326-AddedOnRampEdge 508479326 508479321 508479317 123867444 508479309 508479313#0 508479313#1-AddedOnRampEdge 28414204#0 28414204#1 508479346-AddedOffRampEdge 394159695 394159694 157782429#0,114,395439804,157782429#0
115,taz_65,taz_16,8926043 509721011 509721012-AddedOnRampEdge 509721012 509721013 509721013-AddedOffRampEdge 850394066 867203204 867203204-AddedOffRampEdge 157607517 508479360 157607691 123867444 508479309 508479313#0 508479313#1-AddedOnRampEdge 28414204#0 28414204#1 508479346-AddedOffRampEdge 394159695 394159694 157782429#0,115,8926043,157782429#0
